Structure_id,Urban,Year,Lanes_on,AverageDaily,Historic,Material,Spans,Length,Width,Trucks_percent,Condition
000021521-00101,Rural,2005,1,1,Not historic,Concrete,2,31.4,4.3,0,23
000021521-TMP20,Rural,2012,2,100,Not historic,Concrete,1,10.1,8.4,0,24
000021525-00012,Rural,1950,1,80,Not historic,Timber,14,45.4,3.7,0,18
000021580-00092,Rural,2004,2,150,Not historic,Concrete,1,25,7.3,4,23
000021580-00093,Rural,2005,2,150,Not historic,Concrete,2,49.1,8.5,4,24
000021594-62598,Rural,2017,2,20,Not historic,Timber,1,15.2,7.7,0,23
000021594-TMP06,Rural,1950,2,10,Not historic,Timber,7,32.6,7.6,0,14
000021594-TMP07,Rural,1950,2,40,Not historic,Timber,2,9.8,7.6,0,18
000021594-TMP08,Rural,1950,2,40,Not historic,Timber,10,46.3,7.6,0,18
000021594-TMP09,Rural,1950,2,40,Not historic,Timber,2,9.4,7.5,0,18
010600013603028,Rural,1934,2,4400,Not historic,Steel,5,43.6,12.6,13,18
010600013603131,Rural,2018,2,5000,Not historic,Concrete,5,91.4,11.6,50,23
010600013603132,Rural,2016,2,6000,Not historic,Concrete,5,91.4,11.6,13,24
010600013603133,Rural,2016,2,5000,Not historic,Concrete,2,45.7,9.6,14,23
010600013603134,Rural,2016,2,5000,Not historic,Concrete,3,54.9,9.6,14,24
010600013603135,Rural,2016,2,5000,Not historic,Concrete,3,54.9,9.6,14,23
010600013603136,Rural,2016,2,5000,Not historic,Concrete,5,103.6,9.3,13,23
010600013603137,Rural,2016,2,5000,Not historic,Concrete,3,51.8,11.6,13,24
010600013604058,Rural,1938,2,1980,Possible,Concrete,8,48.8,12.6,19,20
010600013604059,Rural,1938,2,2310,Possible,Concrete,8,48.8,12.6,16,19
010600013604062,Rural,1938,2,3690,Possible,Concrete,7,42.7,13,14,20
010600013604079,Rural,1958,2,3560,Possible,Concrete,9,109.7,8.4,15,17
010600013604101,Rural,1983,2,3690,Not historic,Concrete,5,48.8,11.8,14,18
010600013604102,Rural,1983,2,3560,Not historic,Concrete,5,61,11.8,15,19
010600013604126,Rural,2008,2,1980,Not historic,Concrete,3,54.9,15,19,22
010600013604128,Rural,2008,2,2050,Not historic,Concrete,3,73.2,11.3,18,23
010600013604129,Rural,2008,2,2050,Not historic,Concrete,3,73.2,15,18,22
010600039903011,Rural,1954,2,120,Possible,Concrete,3,22.9,7.1,8,20
010600039903013,Rural,1962,2,420,Possible,Concrete,6,45.7,7.1,10,21
010600039903015,Rural,1962,2,420,Possible,Concrete,4,30.5,7.1,10,19
010600040001016,Rural,1948,2,3790,Possible,Concrete,30,228.6,12.6,16,19
010600040001030,Rural,1986,2,3790,Not historic,Concrete,1,365.8,12.6,16,20
010600040001032,Rural,1990,2,860,Not historic,Concrete,2,76.2,13.6,26,21
010600052501006,Rural,2016,2,2500,Not historic,Concrete,3,91.4,13.3,26,24
010600073501017,Rural,1954,2,100,Possible,Concrete,3,22.9,7,16,21
010600073501025,Rural,1962,2,270,Possible,Concrete,5,38.1,7,9,20
010600074903018,Rural,1949,2,230,Possible,Steel,3,106.4,7.3,9,18
010600076301005,Rural,1959,2,110,Possible,Concrete,2,15.2,7.1,21,20
010600076301006,Rural,1959,2,110,Possible,Concrete,1,7.6,7.2,21,21
010600076301008,Rural,1990,2,250,Not historic,Concrete,1,21.3,8.5,9,22
010600109705014,Rural,1955,2,130,Possible,Concrete,2,15.2,7.1,23,18
010600109705017,Rural,1956,2,130,Possible,Concrete,3,22.9,7.1,23,20
010600117401009,Rural,1996,2,160,Not historic,Concrete,1,25.9,9.2,28,22
010600117401010,Rural,2007,2,490,Not historic,Concrete,1,21.3,9.1,18,23
010600117401011,Rural,2007,2,490,Not historic,Concrete,1,18.3,9.1,18,23
010600120301005,Rural,1990,2,330,Not historic,Concrete,1,42.7,8.5,10,21
010600120301006,Rural,1996,2,580,Not historic,Concrete,1,19.8,9.1,10,20
010600146302021,Rural,2004,2,230,Not historic,Concrete,3,36.6,8.9,10,22
010600146304018,Rural,1990,2,1450,Not historic,Concrete,3,64,12,10,22
010600146304019,Rural,1990,2,500,Not historic,Concrete,5,121.9,12,14,21
010600146501002,Rural,1990,2,60,Not historic,Concrete,1,16.8,8.5,8,23
010600200303005,Rural,2010,2,140,Not historic,Concrete,4,140.2,9.1,8,23
010600238501002,Rural,1960,2,250,Possible,Concrete,6,45.7,7.3,9,20
010600AA0101002,Rural,1970,1,20,Possible,Timber,1,8.5,4.8,0,18
010600AA0105001,Rural,2001,1,20,Not historic,Steel,1,7.9,6.1,0,18
010600AA0106002,Rural,2006,2,10,Not historic,Concrete,3,22.9,7.3,0,23
010600AA0112001,Rural,2001,1,10,Not historic,Steel,1,6.1,6.1,0,21
010600AA0113001,Rural,1945,1,10,Possible,Steel,2,12.5,6.6,0,17
010600AA0128001,Rural,1997,1,30,Not historic,Steel,1,18,5.6,0,18
010600AA0129001,Rural,1999,2,30,Not historic,Concrete,1,18,7.1,0,22
010600AA0138001,Rural,2013,2,20,Not historic,Concrete,1,15.2,7.2,0,23
010600AA0143001,Rural,2002,1,40,Not historic,Steel,1,7.3,5.6,0,18
010600AA0156002,Rural,2013,2,10,Not historic,Concrete,1,13.7,7.2,0,23
010600AA0168001,Rural,1999,2,10,Not historic,Concrete,3,40.2,7.1,0,21
010600AA0168002,Rural,1999,2,10,Not historic,Concrete,2,24.4,7.1,0,21
010600AA0170002,Rural,2001,1,10,Not historic,Steel,1,6.1,6.1,0,21
010600AA0173001,Rural,1990,1,40,Not historic,Steel,3,13.7,6.1,0,16
010600AA0173002,Rural,2003,2,20,Not historic,Concrete,1,18.3,7.3,0,24
010600AA0180001,Rural,2004,2,70,Not historic,Concrete,1,12.2,7.3,0,23
010600AA0180002,Rural,2003,2,70,Not historic,Concrete,1,12.2,7.3,0,21
010600AA0194002,Rural,1992,1,10,Not historic,Steel,4,21.9,4.9,0,16
010600AA0215001,Rural,1921,1,40,Possible,Steel,2,11,4.8,0,16
010600AA0215003,Rural,1921,1,70,Register,Steel,1,39.6,4.3,0,22
010600AA0228001,Rural,2013,2,30,Not historic,Concrete,2,18.3,7.3,0,20
010600AA4380001,Urban,1995,2,50,Not historic,Steel,1,11.9,7.3,0,21
010750004505027,Rural,1933,2,2500,Possible,Concrete,5,43.6,9.1,5,18
010750004506033,Rural,1931,2,2760,Possible,Concrete,16,139,13,21,18
010750004506034,Rural,1931,2,2760,Possible,Concrete,6,52.1,13,21,19
010750004506036,Rural,1931,2,2410,Possible,Concrete,6,52.1,13,16,21
010750004506038,Rural,1924,2,1390,Possible,Concrete,7,38.4,11.8,15,17
010750004506039,Rural,1924,2,1390,Possible,Concrete,5,27.4,11.8,15,18
010750004520040,Rural,2000,2,2400,Not historic,Concrete,4,92.1,9.5,15,21
010750004520177,Rural,1994,2,4900,Not historic,Concrete,1,64,13.2,17,21
010750004520191,Rural,2001,2,8000,Not historic,Concrete,3,83.8,13.2,0,21
010750004520219,Urban,1998,2,5250,Not historic,Concrete,3,86.9,13.2,4,20
010750004520230,Rural,1998,3,5250,Not historic,Concrete,3,73.2,17,4,21
010750004521159,Urban,1990,2,5910,Not historic,Concrete,8,195.1,13.4,16,21
010750004521160,Rural,1990,2,5910,Not historic,Concrete,10,280.4,13.4,16,20
010750004521161,Rural,1990,2,5910,Not historic,Concrete,5,134.1,13.4,16,20
010750004521162,Rural,1990,2,5910,Not historic,Concrete,5,134.1,13.4,16,19
010750017403040,Rural,1994,2,830,Not historic,Concrete,3,86.9,9.1,11,20
010750017403046,Rural,2004,2,840,Not historic,Concrete,5,137.2,11.9,11,20
010750017404037,Rural,1984,2,1060,Not historic,Concrete,3,31.4,10.4,10,20
010750017404038,Rural,1984,2,710,Not historic,Concrete,6,74.7,10.4,10,18
010750017404042,Rural,1994,2,190,Not historic,Concrete,3,59.4,9.1,9,21
010750017404043,Rural,1994,2,190,Not historic,Concrete,3,64,9.1,9,21
010750017404044,Rural,1996,2,120,Not historic,Concrete,3,103.6,9.1,8,19
010750020202028,Rural,1958,2,410,Possible,Concrete,3,27.4,7.8,17,20
010750020202029,Rural,1958,2,740,Possible,Concrete,3,27.4,7.8,10,20
010750020202030,Rural,1958,2,740,Possible,Concrete,3,27.4,7.8,10,20
010750020203045,Rural,2004,2,8000,Not historic,Concrete,2,85.3,13.2,16,20
010750027902001,Rural,1934,2,4600,Possible,Steel,4,24.4,13.4,28,17
010750027902002,Rural,1934,2,4600,Possible,Steel,4,24.4,13.4,28,18
010750027902003,Rural,1934,2,2430,Possible,Steel,10,61,13.4,13,18
010750027902024,Rural,1938,2,4600,Register,Steel,8,643.7,7.3,28,15
010750027903016,Urban,1938,2,3120,Possible,Concrete,5,30.5,12.1,13,18
010750027903020,Rural,1947,2,1810,Possible,Steel,3,159.1,7.9,28,18
010750051005010,Rural,1960,2,950,Possible,Concrete,3,36.6,7.2,11,19
010750051005013,Rural,1960,2,590,Possible,Concrete,5,61,7.2,10,18
010750051006016,Rural,1969,2,2030,Possible,Concrete,5,46.3,12.2,10,20
010750051006017,Rural,1969,2,2030,Possible,Concrete,3,27.7,12.2,10,21
010750051006018,Rural,1969,2,2030,Possible,Concrete,2,18.6,12.2,10,20
010750054902011,Rural,1958,2,6650,Possible,Concrete,5,49.1,13.3,12,18
010750054902018,Rural,1962,2,8220,Possible,Concrete,5,61,13.2,12,20
010750062001001,Rural,1943,2,310,Register,Concrete,6,57,7.2,10,18
010750062001002,Rural,1943,2,210,Possible,Concrete,5,85.3,7.2,0,16
010750069001008,Rural,1985,2,720,Not historic,Concrete,3,55.2,12.2,15,21
010750076401005,Rural,1949,2,450,Possible,Concrete,3,22.9,6.5,6,20
010750076401006,Rural,1949,2,450,Possible,Concrete,3,22.9,6.5,6,18
010750076401007,Rural,1949,2,450,Possible,Concrete,3,22.9,6.5,6,18
010750076404009,Rural,1950,2,560,Possible,Concrete,4,30.5,6.5,10,20
010750076404013,Rural,1987,2,560,Not historic,Concrete,1,64,8.4,10,22
010750115401001,Rural,1940,2,470,Possible,Steel,2,10.7,6.7,10,18
010750115401009,Rural,1991,2,180,Not historic,Concrete,1,22.9,9.1,9,22
010750148201012,Rural,1991,2,260,Not historic,Concrete,3,27.7,9.1,9,20
010750148201015,Rural,2002,2,100,Not historic,Concrete,1,65.5,8.9,8,22
010750148201016,Rural,2002,2,100,Not historic,Concrete,1,65.5,8.9,8,24
010750148202011,Rural,1982,2,90,Not historic,Concrete,5,114.3,8.4,8,21
010750148202013,Rural,1991,2,90,Not historic,Concrete,6,146.3,9.1,8,20
010750148202014,Rural,1993,2,90,Not historic,Concrete,1,53.3,9.1,8,22
010750148801004,Rural,1966,2,290,Possible,Concrete,1,7.6,8,18,20
010750148801007,Rural,2007,2,200,Not historic,Concrete,1,24.4,8.8,9,23
