Structure_id,Urban,Year,Lanes_on,AverageDaily,Historic,Material,Spans,Length,Width,Trucks_percent
090980AA0158001,Rural,2002,2,35,Not historic,Concrete,3,27.7,7,0
150150001701045,Urban,1937,2,2420,Possible,Concrete,5,24.4,9.6,12
131580AA0146001,Rural,2002,2,50,Not historic,Timber,2,9.8,8.1,0
060690000407036,Urban,1966,2,16900,Possible,Concrete,6,45.7,12.2,31
111140AA0302004,Rural,2000,1,55,Not historic,Steel,1,12.5,4.5,0
161780010201130,Rural,2006,2,9280,Not historic,Concrete,1,64,11.5,13
180570296406470,Urban,2011,3,26000,Not historic,Concrete,1,85.6,20.7,0
090740107701023,Rural,2018,2,900,Not historic,Concrete,3,79.2,9,17
150150B09370001,Urban,1962,2,1240,Possible,Concrete,1,12.2,9.1,0
010920AA0601001,Rural,1993,2,250,Not historic,Concrete,3,37.5,8.6,0
040910AA0292001,Rural,1940,2,50,Possible,Steel,1,12.2,6.1,0
022200355902001,Urban,1992,3,31320,Not historic,Concrete,2,56.7,14.6,5
150150029111220,Urban,2009,3,15000,Not historic,Concrete,3,42.1,12.6,7
022200001416544,Urban,2014,2,28250,Not historic,Steel,3,221,11,10
150950053501025,Urban,1966,2,15170,Possible,Concrete,6,48.8,12.2,23
171980054002024,Rural,1962,2,1590,Possible,Concrete,1,15.2,7,13
142270114901004,Rural,1955,2,9870,Possible,Concrete,6,54.9,14.6,6
142270B00072002,Urban,1931,5,25760,Possible,Concrete,1,7,23.2,0
142460001509416,Urban,1990,8,132840,Not historic,Concrete,7,213.4,33.8,11
011940AA0146002,Rural,2002,2,30,Not historic,Concrete,1,21.3,7.2,0
010920C02260001,Urban,1959,2,3020,Possible,Concrete,3,27.4,11,0
082080AA0222001,Rural,1956,2,200,Possible,Concrete,3,27.4,7.5,15
090140AA0423002,Rural,1987,2,210,Not historic,Steel,6,18.3,8,0
1805709M1900007,Urban,2015,6,2120,Not historic,Concrete,3,50.3,20.1,0
081680000601152,Rural,1958,2,30,Possible,Concrete,2,15.2,7.9,38
132410130401004,Rural,1956,2,730,Possible,Concrete,3,22.9,7,4
032520036102003,Rural,1930,2,860,Possible,Concrete,4,42.7,12.1,12
142460AA0413001,Rural,1957,2,110,Possible,Concrete,2,15.5,6,0
010920137901009,Rural,2004,2,970,Not historic,Concrete,3,57.9,13.2,8
121020011005177,Urban,2002,3,15880,Not historic,Concrete,7,224.3,11.6,7
010920AA0125001,Rural,1985,2,1180,Not historic,Steel,3,17.7,5.9,0
150150B26925001,Urban,2016,2,1000,Not historic,Concrete,3,36.6,9.1,1
180610C00459006,Urban,1992,3,2680,Not historic,Concrete,3,98.5,12.2,0
142460020401091,Rural,2006,2,15500,Not historic,Concrete,7,231.6,11.4,17
010920AA0202001,Rural,1993,2,50,Not historic,Steel,1,21.3,7.2,0
180570237402415,Urban,1987,3,60500,Not historic,Concrete,3,62.5,17.1,14
121020325602116,Urban,1990,3,11300,Not historic,Concrete,2,47.5,11.9,4
180570296402594,Urban,2006,2,10000,Not historic,Concrete,4,108.5,8.3,0
121020005009471,Urban,2017,1,3000,Unknown,Concrete,1,35.1,7.3,3
150150B06985001,Urban,1976,2,8010,Possible,Concrete,2,31.1,13.5,0
011170020302044,Rural,1998,2,7570,Not historic,Concrete,3,64,13.4,11
201240002806139,Rural,1966,2,6750,Possible,Concrete,2,18.9,12.1,0
130080AA0288001,Rural,2001,2,50,Not historic,Concrete,1,9.1,8.7,0
062380000401002,Rural,1927,2,3730,Possible,Concrete,11,46.9,13.3,5
201760030510053,Rural,1981,2,850,Not historic,Concrete,4,36.9,12.2,8
250380122501007,Rural,2007,2,1090,Not historic,Concrete,4,67.1,9.8,30
170940072001069,Rural,1996,2,760,Not historic,Concrete,6,80.2,9.1,9
170940AA0327003,Rural,1998,1,140,Not historic,Steel,1,12.2,4.5,0
150150B24115001,Urban,1989,2,12100,Not historic,Concrete,1,24.4,8.8,0
090980018303021,Rural,1938,2,2600,Possible,Steel,4,42.7,13.4,17
140280015203039,Rural,2007,2,3550,Not historic,Concrete,7,128,11.6,7
121020027116376,Urban,1971,2,14060,Possible,Concrete,14,339.2,11.7,6
030120056202014,Rural,1939,2,20,Possible,Concrete,3,9,7.3,4
171450114502019,Rural,1988,2,830,Not historic,Concrete,4,36.9,10.2,15
091610001502615,Rural,2015,3,31020,Not historic,Concrete,3,105.2,17.5,28
121020027114074,Urban,1963,4,74630,Possible,Steel,3,65.5,20.7,9
230250203901001,Rural,1943,2,2720,Possible,Steel,1,83.8,13.2,8
250440236501001,Rural,1959,2,350,Possible,Concrete,4,30.5,7.1,29
011130068004034,Rural,2013,2,130,Not historic,Concrete,1,48.8,9.1,20
120800AA1121001,Urban,1991,2,300,Not historic,Concrete,3,36.6,7.3,0
140280053503124,Rural,1969,2,14620,Possible,Steel,3,536.4,12.2,24
201240020015139,Urban,1965,2,21130,Possible,Concrete,1,44.2,11.7,8
022200AA0616001,Rural,1994,2,2080,Not historic,Concrete,3,45.7,13.4,25
040330027502051,Rural,1966,2,160,Possible,Steel,4,128.9,8.5,19
010920AA0189002,Rural,1981,2,70,Not historic,Steel,1,9.1,5.9,0
031690AA0321001,Rural,1978,1,110,Not historic,Steel,1,9.1,4.8,5
121020027107147,Urban,1964,3,24420,Possible,Concrete,5,31.1,11.9,5
121020AA0664001,Urban,2000,2,1740,Not historic,Concrete,3,30.2,7.3,1
170940B00480001,Rural,1940,2,540,Possible,Concrete,2,18.9,6.1,0
081280AA0298001,Rural,2003,2,50,Not historic,Concrete,1,25.9,7.2,0
152470AA0384001,Rural,1983,2,70,Not historic,Concrete,1,9.8,5.9,0
010920AA0559001,Rural,1999,2,100,Not historic,Steel,1,12.2,7.5,0
150830001707288,Rural,1973,2,10800,Possible,Concrete,1,54.9,12.8,21
131210008903075,Rural,1968,2,11930,Possible,Concrete,3,51.8,12.2,17
021820031402098,Rural,1971,2,9760,Possible,Concrete,2,27.4,12.2,30
211090025508077,Urban,1985,4,40990,Not historic,Concrete,3,86.9,21,21
